review_id,category,period_bin,year,title,sentence,counts_as_category,notes,teacher_reasoning,work_id,uid,sent_id
11,divine_teleology,1750_1799,1796,"[Naturgeschichte für kinder. English]. A system of natural history, ... 1796: Vo","The Creator, in replenishing the earth with animals, has provided for each its subsistence in the spot or country that gave it birth. Not one of them suffers famine in the midst of the icy regions of the north, or in the barren and sultry desarts of the torrid zone; all are equally satisfied, according to the wise appointments of Providence, F 2 A 124 VIVIPAROUS ANIMALS.",,,"This passage asserts that animals are providentially supplied with subsistence where they live, grounding their fitting-to-place in 'the Creator' and 'Providence.' That is a divine purposive characterization of animals' place in nature.",raff|system of natural history 1796 vol 2,ia_bim_eighteenth-century_naturgeschichte-fr-kin_raff-georg-christian_1796_2,405
12,divine_teleology,1750_1799,1798,"Beauties of the creation: or, A new moral system of natural history; displayed i","Atevery cell, the Creator has, most wifely, taught them to form a ledge, which fortifies ‘each aperture against the injuries they might receive trom the frequent ingreisand return of the bees. How grateful ought we to be for the creation of — this admirable infect!",,,"This passage attributes a specific functional feature of the bees' cells and behavior ('form a ledge' that 'fortifies each aperture') to 'the Creator,' so it combines purpose with divine grounding. That makes it divine teleology rather than mere observation or non-divine functional description.",176712,bhl_290923,407
13,divine_teleology,1750_1799,1798,"Tracts relating to natural history. By James Edward Smith, ... 1798","and there cast strong a light, that it is easy to count the fishes and worms of various kinds sporting among them. The Sucking-fish /Echeneis Remora}, which of itself could not without great difficulty swim fast enough to supply itself with food, has obtained from its Creator an instrument not much unlike a saw, with which it affixes itself to ships, and the larger kinds of fishes, and in this manner is transported gratis from one shore of the world to another. The fame Divine Artificer has given the fluggith Fishing Frog (Lophius piscatorius) a kind of rod, furnished with a bait, by which it beguiles little fishes into its jaws &.",,,This passage characterizes specific animal organs by the functions they serve and explicitly attributes those purposive provisions to 'its Creator' and the 'Divine Artificer.' That makes it divine teleology rather than merely non-divine functional description.,smith|tracts relating to natural history by james edward,ia_bim_eighteenth-century_tracts-relating-to-natur_smith-james-edward-sir_1798,27
14,divine_teleology,1750_1799,1798,"Beauties of the creation: or, A new moral system of natural history; displayed i","The reft have membranous lobes, which serve as wings to them in their flight. Thesinfect might, therefore, be justly called the Mercury of this part of the creation. ‘i he top of the head is membranous, shaped like an owl, and divided at its extremity. This animal is one of the innumerable instances which nature affords, to indicate the infinite wisdom of the Creator. Whenever any part of his wo:kmanthip is found to deviate from the general system, itis till formed to answer the design of its existence. This infect, having such long legs, could never have sustained itfelf in the air, had not providence bestowed on it a fspecies of wings, to balance its weight.",,,"The insect's wings are said to exist 'to balance its weight,' and this functional arrangement is attributed to 'the Creator' and 'providence.' Because both purpose and divine source are explicit, this is divine teleology rather than merely functional anatomy.",176712,bhl_290923,363
15,divine_teleology,1750_1799,1798,"Beauties of the creation: or, A new moral system of natural history; displayed i",", TY : Ts IS bird is another instance of the care of the. Creator, in providing for every creature according to their respective neceflities. Thas we fee the flamgingo, which livés about the shallow shores of the. ea and the mouths of rivers, provided with a most uncommon length of neck and legs ; the latter of which are fo long, that when walking in the water, it appears as if {wimming ; and the head, which is almoit constantly under water, in search of food, makes the bird seem no larger than a goole,. the body being ~ then only perceptible.",,,"The passage explicitly attributes the flamingo's traits to 'the care of the Creator' and says creatures are provided for according to their necessities. That joins function/purpose with divine grounding, satisfying both conditions for divine_teleology.",176712,bhl_290923,256
16,divine_teleology,1800_1829,1803,"Testacea Britannica, or, Natural history of British shells, marine, land, and fr","That the Teredines, as well as the Pholades, and many other aquatic animals were created, by the Father of the Universe, for equally beneficent purposes in that element cannot be disputed; for though they may seem to impede, and even destroy the operations of man in some degree, yet, they are of such importance in the great scale of nature, that, as it has been observed, it would not be dificult to prove, we should feet the want of one or two species of larger quadrupeds much less, than one or two species of these despicable-looking animals.",,,"The passage explicitly states that these aquatic animals were created by 'the Father of the Universe' and 'for... beneficent purposes.' It therefore combines divine agency with purposive role, which is exactly divine_teleology.",33927,bhl_78694,1567
17,divine_teleology,1800_1829,1804,"Animal biography, or, Authentic anecdotes of the lives, manners, and economy, of","This little animal is found throughout Europe, and indeed in most of the northern parts of the world. Being destitute of weapons of defence, it 1s endowed by Providence in a high degree with the sentiment of fear.",,,"The animal is characterized by a compensatory disposition serving defense, and that endowment is explicitly attributed to Providence. Because the functional trait is grounded in divine provision, this is divine_teleology rather than non_divine_teleology.",41622,bhl_91783,1357
18,divine_teleology,1800_1829,1807,A general history of quadrupeds,"“ Poor is the triumph o’er the timid Hare.” Another remarkable means of safety to tho Hare is its colour, which, being similar to the ground where it sits, secures it from the sight of its enemies ; and as a further instance of the care of Providence in the preservation of its creatures, these, as well as some other animals in more northern regions, are observed to change their colour, and become perfectly white during winter, which renders them less conspicuous in the snow.",,,"The hare's color is explicitly described as a means of safety, and this protective function is attributed to the care of Providence. That is purposive characterization grounded in divine agency, so it is DT.",115982,bhl_201453,796
19,divine_teleology,1800_1829,1807,A general history of quadrupeds,"This useful and hardy animal is the offspring of the Horse and the Ass, and being generally barren, furnishes an indisputable proof that the two species are perfectly distinct. Nature has providently stopped the further propagation of these heterogeneous produdlions, to preserve, uncontaminated, the form of each animal ; without which regulation, the races would in a short time be mixed with each other, and every creature, losing its original perfection, would rapidly degenerate.",,,"The passage says the barrenness of the mule serves the purpose of preserving the distinct form of each animal, and attributes that purposive arrangement to provident Nature. That is a teleological characterization grounded in a higher intentional order, so divine_teleology fits best.",115982,bhl_201453,41
20,divine_teleology,1800_1829,1807,A general history of quadrupeds,"This useful and hardy animal is the offspring of the Horse and the Ass, and being generally barren, furnishes an indisputable proof that the two species are perfectly distinct. Nature has providently stopped the further propagation of these heterogeneous produdlions, to preserve, uncontaminated, the form of each animal ; without which regulation, the races would in a short time be mixed with each other, and every creature, losing its original perfection, would rapidly degenerate.",,,"This explicitly says propagation is stopped 'providently' in order 'to preserve' the form of each animal, so it assigns a purpose to reproductive barrenness and grounds that purpose in providential design. That satisfies both the teleological and divine conditions.",115982,bhl_201453,40
21,divine_teleology,1800_1829,1808,"American ornithology, or, The natural history of the birds of the United States ","THERE is one striking peculiarity in the works of the great Creator, which becomes more amazing the more we reflect on it; namely, that he has formed no species of animals so minute, or obscure, that are not invested with certain powers and peculiarities, both of outward conformation and internal faculties, exactly suited to their pursuits, sufficient to distinguish them from all others; and forming for them a character solely and exclusively their own.",,,"Animals are said to be formed by 'the great Creator' with powers and conformations 'exactly suited to their pursuits.' This joins divine agency with purposive fitting, so it is DT rather than IE or junk.",97204,bhl_175511,355
22,divine_teleology,1800_1829,1812,British zoology,"Providence has implanted in them a benevolent disposition, and a fear of the human race, together with a certain consciousness of the services we can render them. Most of the hoofed quadrupeds are domestic, because necessity compels them to seek our protection : wild HORSE. Class I. beasts are provided with feet and claws, adapted to the formation of dens and retreats from the inclemency of the weather ; but the former, destitute of these advantages, are obliged to run to us for artificial shelter and harvested provision; as nature, in these climates, does not throughout the year supply them with necessary food.",,,"The passage assigns hoofed quadrupeds traits and a domestic role as implanted by Providence, combining purposive characterization with explicit divine grounding. That makes it DT rather than merely functional NDT.",106649,bhl_188133,97
23,divine_teleology,1800_1829,1812,British zoology,"The color approaches very near to that of the ground, which secures it more effectually from the sio;ht of men, and of beasts and birds of prey. Providence has been so careful in respect to the preservation of the species of animals, as to cause in northern countries these as ' well as many others to change color, and become white at the beginning of winter, to render them less conspicuous amidst the snow.",,,The passage assigns a protective function to the animal's coloration and explicitly attributes that purposive arrangement to Providence. It therefore satisfies both conditions for divine_teleology: purpose and divine grounding.,62215,bhl_109530,361
24,divine_teleology,1800_1829,1814,Lectures on comparative anatomy : in which are explained the preparations in the,"From these experiments, it is evident that the power of the sun’s, rays to scorch the skin of animals is destroyed, when applied to a black surface ; although the absolute heat, in consequence of the absorption of the rays, is greater. The same wise Providence which has given so extraordinary a provision to the Negro for the defence of his skin, while living within the tropics, has extended it to the bottom of the eye ; which otherwise would suffer in a greater or less degree, when exposed to strong light 5 the retina, from its transparency, allowing it to pass through without injury.",,,This explicitly attributes an animal feature to 'wise Providence' and states its purpose: defence of the skin and protection of the eye from strong light. That satisfies both divine grounding and purposive characterization.,169606,bhl_281920,324
25,divine_teleology,1800_1829,1816,"An introduction to entomology, or, Elements of the natural history of insects : ","Another aquatic beetle, Acilius sulcatus Leach, has not only its elytra sulcated, but the furrows of these, and a transverse one of the thorax, are thickly set with hair; whUe the male is smooth, and quite naked. Particular care seems to have been taken by the Creator, that when aU the above inhabitants of the water are paired, the male should be able to fix himself so firmly, by means » A remarkable anomalous exception to this rule sometimes occurs in the female of B. margimlis, which has smooth elytra like the male (Gyll.",,,"This explicitly attributes a purpose of the beetle's structure in pairing to 'the Creator,' satisfying both purposive and divine conditions. It is not merely saying God caused the beetle to exist, but that its traits were arranged for a reproductive end.",105744,bhl_187086,901
26,divine_teleology,1800_1829,1816,"An introduction to entomology, or, Elements of the natural history of insects : ","Indeed this mode of motion seems often to be given to this description of larva? by Providence, to enable them to return to their natural sta-. tion, when by any accident they have wandered away from it. Many apodous larvae inhabit the water, and therefore must be furnished with means of locomotion proper to that element.",,,"The larvae's mode of motion is explicitly said to be given by Providence for the purpose of returning them to their station, satisfying both purpose and divine grounding. The second sentence reinforces the functional characterization of the larvae's locomotion.",104741,bhl_185580,854
27,divine_teleology,1800_1829,1816,"An introduction to entomology, or, Elements of the natural history of insects : ","But the chief cause, perhaps, is the occasion (hereafter to be adverted to) which the spider sometimes has to employ its threads in their finer and unconnected state before they unite to form a single one. — The spider is gifted by her Creator with the power of closing the orifices of the spinners at pleasure, and can thus, in dropping FOOD OF INSECTS. ■407 from a height by her line, stop her progress at any point of her descent: and, according to Listera, she is also able to retract her threads within the abdomen; but this is doubted, and with apparent reason, by De Geerb. *",,,"This passage both attributes the spider's capacity to the 'Creator' and states the purpose it serves, namely controlling descent by its line. That combination makes it divine_teleology rather than non_divine_teleology.",104725,bhl_185557,1122
28,divine_teleology,1800_1829,1816,"An introduction to entomology, or, Elements of the natural history of insects : ","METAMORPHOSES. <V A question here naturally presents itself— Why are insects subject to these changes ? For what end is it that, instead of preserving- like other animals a the same general form from infancy to old age, they appear at one period under a shape so different from that which they finally assume ; and why should they pass through an intermediate state of torpidity so extraordinary ? I can only answer that such is the will of the Creator, who doubtless had the wisest ends in view, although we are incompetent satisfactorily to discover them.",,,"The passage explicitly asks the end of insect metamorphosis and answers that it is the 'will of the Creator' with 'wisest ends in view.' That satisfies both purpose and divine attribution, so it is divine teleology rather than mere divine causation.",104725,bhl_185557,197
29,divine_teleology,1800_1829,1816,"An introduction to entomology, or, Elements of the natural history of insects : ","The insects of the Triehoptcra order (Phr?/g(ine(i,lj.) are quiescent when they first assume the pupa, but become locomotive towards the close of their existence in that state. Since they inhabit the water when they become pupa?, Providence has furnished them with the means of quitting that fluid w ithout injury, when they are to exchange it for the air ; which in their winged state is their proper sphere of action.",,,The passage explicitly says Providence furnished these insects with means for a specific end: quitting water safely in order to live in air. That is a direct claim of divinely grounded function.,104741,bhl_185580,908
30,divine_teleology,1800_1829,1822,"An introduction to entomology, or, Elements of the natural history of insects : ","Amidst this infinite variety of motions, for purposes so numerous and diversified, and performed by such a multiplicity of instruments and organs, who does not "" De Geer, ii. 638—. » See above, p. 7. 374 MOTIONS OF INSECTS. discern and adore the Great Finsr Mover? From him all proceed, by him all are endowed, in him all move: and it is to accomplish his ends, and to go on his errands, that these little but not insignificant beings are thus gifted; since it is by them that he maintains this terraqueous globe in order and beauty, thus rendering it fit for the residence of his creature man.",,,"The passage explicitly says these insects are gifted in order ""to accomplish his ends"" and ""go on his errands,"" grounding their purpose in the divine ""Great First Mover."" That is a direct claim that the animals serve a God-given end, so it is divine teleology rather than merely a claim that God crea",65745,bhl_132529,1062
31,divine_teleology,1800_1829,1822,"A natural history of the Lepidopterous insects of New South Wales collected, eng","We consider this as a very curious insect, and it’s singular power of darting forth wounding stings as a property unknown in any larva of Lepidopterous Insects before observed, which has been given it, no doubt, for a defence against some formidable enemy to the larva race by a!lproviding Providence, designing him to live, as it were, in the face of many enemies without hiding. We have named it the Wounding Bombyx from this singular property in the larva.",,,"The passage characterizes the larva's stings as given 'for a defence' and explicitly attributes that purpose to 'allproviding Providence,' satisfying both purposive and divine conditions for divine teleology.",65146,bhl_131766,24
32,divine_teleology,1800_1829,1822,"An introduction to entomology, or, Elements of the natural history of insects : ","Linné named the tribe of parasites to which these belong, Minutz, on account of their generally diminutive size. But these little minims, under the superintendence of Providence, are amongst the greatest benefactors of the sufficiently distinguished from them and every other insect by its singular capillary wings.",,,"The animals are identified as 'parasites' and then described as operating 'under the superintendence of Providence,' which attributes their role to divine oversight. That combines a functional characterization with divine grounding, satisfying divine teleology.",65745,bhl_132540,90
33,divine_teleology,1800_1829,1822,"An introduction to entomology, or, Elements of the natural history of insects : ","But you will here, perhaps, ask— How can a pupa in her envelope, with all her limbs set fast, do this? This affords another instance of the wise provision of the beneficent Father of the universe for the welfare of his creatures. The antennze and legs of this tribe of insects, when they are pupz, are not included, as is the case with most that are quiescent in that state, in the general envelope; but each in a separate one, so as to allow it free motion. ‘Thus the insect when the time is come for its last change can use them (except the hind-legs, which being partly covered by the wing-cases remain without motion) with ease.",,,"The insect's anatomical arrangement is presented as a provision by the ""Father of the universe"" for the creature's welfare, and the free motion of the limbs is its purpose. This is explicitly purpose-directed and divinely grounded, so it is DT.",65745,bhl_132529,841
34,divine_teleology,1800_1829,1824,The conchologist's companion; comprising the instincts and construction of testa,"These feeble shell-fish have few attractions to recommend them, yet they are wonderfully made ; and many of the humblest in the estimation of their fellow CTeatures are endowed with qualities deserving of our warmest approbation and regard. Let us also, my friend, remember, that the same Almighty Being, who furnishes the defenceless Pholas with the means of forming a secure abode in the hardest substances ; who provides the dwelling of the Triton with a door, by tlie aid of which it excludes the rough beating of a bois¬ terous sea ; who enables the feeble Chiton to fold itself in a coat of mail, resendiling a perforated pebble, and thus elude the vigilance of its marine REFLECTIONS,",,,"This passage attributes specific protective functions of animal traits and dwellings to the 'Almighty Being.' Because it combines function or end ('secure abode,' 'excludes,' 'elude') with explicit divine provision, it is divine_teleology.",147972,bhl_248827,146
35,divine_teleology,1800_1829,1828,An introduction to entomology: or Elements of the natural history of insects: wi,"If 1 might hazard a conjecture, I should say that these organs were given to this animal by an all-provident Creator, to enable it to push itself forward, when in the heart of some tree it emerges from the pupa, that it may escape from its confinement. Another kind of moveable appendages are attached to the thorax of Lepidoptera, usually in the form of a pair of concavo-convex scales covered externally with a tuft of hairs?.",,,"The organs are explicitly said to be given by 'an all-provident Creator' in order to enable the animal to move and escape confinement. That states both divine source and functional purpose, which is the hallmark of divine teleology.",8131,bhl_54472,1696
36,divine_teleology,1830_1849,1830,The gardens and menagerie of the Zoological Society delineated,"Cuvier, that no process of reasoning a priori could have led to the conclusion that a parted hoof necessarily implied the existence of ruminating sto¬ machs ; but the universality of the fact, ascertained by observation, compels us to admit that this mutual dependence of parts having no immediate relationship Avith each other is the work of an overruling power, acting upon a uniform system, and in pursuance of a definite design.",,,"The passage names animal parts ('parted hoof,' 'ruminating stomachs') and concludes their coordinated arrangement is due to 'an overruling power' acting 'in pursuance of a definite design.' That is a direct attribution of purposive organization to divine agency.",149341,bhl_250965,695
37,divine_teleology,1830_1849,1832,The animal kingdom : arranged in conformity with its organization,"Some of tliem are omnivorous — such are the Termites, Ants, &c., whose ravages are but too well known. Several of those which are carnivorous, and all the species which feed on dead animal matters, &c., are a benefit conferred on us by the Author of Nature, and somewhat compensate for the inconvenience and injury we experience from the others.",,,"This explicitly characterizes certain animals by the beneficial role they serve and grounds that role in 'the Author of Nature.' That satisfies both purpose and divine attribution, making it divine_teleology rather than merely non_divine_teleology.",210565,bhl_108360,1692
38,divine_teleology,1830_1849,1834,"The natural history of the order Cetacea, and the oceanic inhabitants of the Arc","Thus we find great strength within a small space in this limb, because it was there required : thus illustrating the beauty of Providence, in accommodating every part to the office it is designed to perform.",,,"The limb is said to have strength where required and every part is accommodated to the office it is designed to perform, with that purposive fitting attributed to ""Providence."" That is explicit divine teleology.",2093,bhl_18367,357
39,divine_teleology,1830_1849,1834,The conchologist,"The species are very numerous: nearly seventy are found in Great Britain. The all-wise Creator has denied to these animals the use of feet and claws, to enable them to move from place to place; but has made them ample amends, in a way more commodious to their habits and mode of life, by the broad skin along each side of the belly, and the power of motion which this possesses.",,,This explicitly states both divine agency ('The all-wise Creator') and purposive fitting of an animal part to the animals' habits and mode of life. That satisfies both conditions for divine teleology.,10366,bhl_86753,325
40,divine_teleology,1830_1849,1834,"The animal kingdom, arranged according to its organization, serving as a foundat","At the beginning of these species we will place those whose antenn, always shorter than the head, are furnished with a plumous seta. Their body is short, and frequently pilose, and the wings are distant. At the first glance these Insects resemble Bombi, and as the larve of several inhabit the nest of those Hymenoptera, it seems as if the Author of nature clothed them in a similar manner, in order that they might penetrate into their habitations without danger.",,,"The insects' form is explained as being given by the ""Author of nature"" ""in order that"" they could enter nests safely. That is a functional characterization of the insects grounded in divine intention, so it is DT.",39976,bhl_89420,1890
41,divine_teleology,1830_1849,1834,The conchologist's companion,"fields of waving corn, or clumps of the majestic wineproducing phoenix, which cluster round the native villages, “‘plead haughtily”’ for the greatness and magnificence of Him who called them into being; whilst the humble Mya, enclosed in a solid and ponderous shell, that enables it to resist the action of rapid and agitated waters, tells us, in accents soft as the dew of Heaven, that ‘‘ His tender mercies are over all his works.” The shell of the Donax resembles a wedge. It is broad and thick at one end, and gradually tapers towards the other: a construction which considerably assists the animal in excavating his subterraneous dormitory.",,,"The passage characterizes the Donax shell by the purpose it serves—assisting the animal in excavation. Although nearby sentences invoke God, this extract's core evidence is the functional characterization of the animal part within a divine-themed passage, supporting divine_teleology.",16061,bhl_54278,127
42,divine_teleology,1830_1849,1834,The conchologist's companion,"The common Chickweed, and the different species which constitute the genus Helix, are apparently of little worth: yet the former, during winter, is nearly the sole support of innumerable flocks of birds; and, without the latter, a considerable proportion of the animal creation would be entirely destitute of food. In the formation of both, the Creator has deviated from his usual course, to provide for their security, and to compensate for all their various and necessary defects. The numerous species which compose the genus Helix; Snail, or Spiral, are principally land or freshwater shell-fish.",,,"This passage assigns Helix and chickweed roles in sustaining other animals and says the Creator formed them to provide for their security and compensate their defects. It combines purpose with explicit divine agency, making it divine_teleology.",16061,bhl_54278,277
43,divine_teleology,1830_1849,1834,The conchologist's companion,"Some inhabit ditches and stagnant waters, where they afford a constant supply of food to such birds as frequent their banks; others, no doubt with the same benevolent design, incrust marine plants in sandy barren places, near the sea; a large proportion remain concealed in the deep recesses of the ocean, where they furnish food to the finny tribes; others adhere to floating sea-weeds, and abundantly supply the wants of marine birds; and, lastly, exotic snails abound in many uncultivated regions of the globe, where they frequently afford a welcome repast to the fainting traveller. In some species of Univalves the forms of the con424 CONCHOLOGIST’S COMPANION.",,,"The passage assigns snails purposive roles—feeding birds, fish, and humans—and explicitly frames this as 'the same benevolent design.' That couples function with divine-style intentional design, so it is divine_teleology rather than mere NDT.",16061,bhl_54278,211
44,divine_teleology,1830_1849,1834,The conchologist's companion,"BIVALVES. 39 Nothing, then, is wanting to this feeble creature ; the same Almighty Being who hurls the tempest from his hand, provides for its security amid the fury of the storm. And yet, this is but a single member of a numerous family, and the family itself but a small colony of the myriads of shell-fish that extend from the Line to the Frozen Ocean. The remaining divisions of the genus Ostrea, consist of those which, in substance, form, and colouring, are more nearly allied to the common or eatable Oyster.",,,"The oyster is described as provided for by an 'Almighty Being' specifically for its 'security,' which assigns a protective purpose to the animal under divine governance. That is divine teleology, not just description or divine causation alone.",16061,bhl_54278,72
45,divine_teleology,1830_1849,1834,"The natural history of the order Cetacea, and the oceanic inhabitants of the Arc","existence of a God, for "" Each shell, each crawling insect, holds a rank Important in the plan of Him who form'd This scale of beings, holds a rank which lost, Would break the chain, and leave a gap Which nature's self would rue."" And, secondly, that every branch of Natural History is fully capable of yielding us innumerable objects for the formation of a pleasing, scientific, and even religious study.",,,"This explicitly assigns shells and insects a rank and role within the divine plan of their maker. It therefore states both purpose/order and divine grounding, which is exactly divine teleology.",2093,bhl_18367,829
46,divine_teleology,1830_1849,1836,On the Natural History and classification of Birds : vol. I and II,"I he smallest tongues are found among the night-jars and swallows, — two groups which are at the same time Qistinguished by the largest mouths ; but here, again, as in tnousand other instances, we may perceive that beautiful principle of design which pervades all nature. The nabits of the ducks render it essential that the tongue JoLnal‘„nho”uSirS No. ON THE CTiASSIFIOATION OF BIRDS.",,,"The passage links bird anatomy to a 'principle of design' pervading nature and immediately connects tongue structure to what ducks require, satisfying both purpose and divine-design language. That makes it DT rather than merely functional NDT.",130870,bhl_225917,123
47,divine_teleology,1830_1849,1838,A history of the British zoophytes,"As zoophytes are, iTiany of them, covered with a stony coat, the Creator has been pleased that they should receive nourishment by their naked flowers.",,,"This explicitly names an animal kind ('zoophytes') and says 'the Creator has been pleased' that they nourish themselves in a certain way, combining function ('receive nourishment') with divine intention. That satisfies both purpose and divine grounding.",110844,bhl_194155,54
